anio_tri,provincia,ingresos (en miles de pesos)
20222,La Rioja,17288645.543690246
20223,La Rioja,19338933.12751935
20224,La Rioja,15308659.916220063
20231,La Rioja,16779308.37448788
20232,La Rioja,18818155.104226746
20141,Mendoza,431718.22919950954
20142,Mendoza,476023.1247369877
20143,Mendoza,509580.85095646576
20144,Mendoza,584605.1473682706
20151,Mendoza,715661.3955321483
20152,Mendoza,692595.9323059509
20153,Mendoza,759169.9987444229
20154,Mendoza,792042.5165261355
20161,Mendoza,864565.9990314902
20162,Mendoza,951859.3467354426
20163,Mendoza,1005699.2408176301
20164,Mendoza,1089531.594857302
20171,Mendoza,1256085.3924274738
20172,Mendoza,1393676.731366335
20173,Mendoza,1629265.8729980644
20174,Mendoza,1696415.2565247624
20181,Mendoza,2213723.499352306
20182,Mendoza,2400176.6609357176
20183,Mendoza,2654400.7014586166
20184,Mendoza,2848340.0752196354
20191,Mendoza,3450308.751579346
20192,Mendoza,3832379.918875838
20193,Mendoza,3999456.2558773174
20194,Mendoza,3687356.8174538957
20201,Mendoza,4499470.012865494
20202,Mendoza,5276105.192952603
20203,Mendoza,5418421.829544876
20204,Mendoza,5874228.358593622
20211,Mendoza,6510060.55766841
20212,Mendoza,7103084.325750898
20213,Mendoza,8880208.774088707
20214,Mendoza,9793923.49668028
20221,Mendoza,12284262.27685633
20222,Mendoza,13510781.156633534
20223,Mendoza,15514209.914154882
20224,Mendoza,12204877.950019343
20231,Mendoza,13566492.762584807
20232,Mendoza,15451761.49136809
20141,Misiones,324272.68229951
20142,Misiones,358967.5222146015
20143,Misiones,385042.9275600905
20144,Misiones,448211.34111100977
20151,Misiones,602502.9340404299
20152,Misiones,603894.3722377543
20153,Misiones,685176.7561870116
20154,Misiones,724440.5612620291
20161,Misiones,790961.5598782036
20162,Misiones,897248.7212015829
20163,Misiones,970930.7254858549
20164,Misiones,1044532.0126466714
20171,Misiones,1206245.9983954607
20172,Misiones,1367656.927646779
20173,Misiones,1428064.7406722174
20174,Misiones,1641681.4488910562
20181,Misiones,1915028.1741076915
20182,Misiones,2126994.5457402538
20183,Misiones,2323141.424004269
20184,Misiones,2691674.296953273
20191,Misiones,3440954.0275609326
20192,Misiones,3813696.565285409
20193,Misiones,3999238.4507234814
20194,Misiones,4516244.674423369
20201,Misiones,5487437.02524833
20202,Misiones,6164473.243653674
20203,Misiones,6250992.290086532
20204,Misiones,6716093.597048513
20211,Misiones,7435475.333476432
20212,Misiones,8082830.0241398495
20213,Misiones,9202106.388070155
20214,Misiones,10475449.010127824
20221,Misiones,12802283.597369932
20222,Misiones,14450571.923804743
20223,Misiones,16318300.64293779
20224,Misiones,12620732.171643311
20231,Misiones,14198197.377159184
20232,Misiones,15969487.376181927
20141,Neuquén,402902.4864604242
20142,Neuquén,450933.8098385848
20143,Neuquén,532034.1189294248
20144,Neuquén,562949.5077367875
20151,Neuquén,686965.112434028
20152,Neuquén,677286.6729984016
20153,Neuquén,763073.2105961506
20154,Neuquén,849918.0985884989
20161,Neuquén,897535.6868386794
20162,Neuquén,1047209.9804358227
20163,Neuquén,1128629.170621557
20164,Neuquén,1235341.5910814854
20171,Neuquén,1439801.2549351207
20172,Neuquén,1624899.8475104582
20173,Neuquén,1660449.9888532108
20174,Neuquén,1864302.0470163552
20181,Neuquén,2197360.7083571064
20182,Neuquén,2339176.3235457996
20183,Neuquén,2527929.8195455964
20184,Neuquén,2665084.994299335
20191,Neuquén,3226485.2486561732
